customer_id,age,gender,marital_status,dependents,income_bracket,employment_status,education_level,last_login_date,login_frequency_30d,mobile_app_user,email_opens_6m,customer_service_calls_12m,complaints_filed,churned,churn_date,churn_reason,policy_type,policy_start_date,policy_amount,premium_amount,premium_frequency,payment_method,riders,days_between_policy_last_login,days_between_policy_churn,churn_behavior
CUST_000013,47,F,Divorced,2,Medium,Retired,Master,2023-08-30,3,Yes,0.46,0,0,0,,,Term,2023-08-23,150000,33.5,Monthly,AutoPay,0,7,,Not Returning
CUST_000014,25,F,Single,2,Medium,Employed,Bachelor,2023-12-23,1,Yes,0.75,1,0,0,,,Term,2023-07-16,200000,30.0,Annual,Manual,0,160,,Not Returning
CUST_000015,25,M,Divorced,3,High,Employed,Master,2022-12-29,2,No,0.46,1,0,0,,,Universal,2022-11-29,350000,52.5,Monthly,AutoPay,2,30,,Not Returning
CUST_000016,38,M,Married,2,Medium,Employed,Bachelor,2023-11-07,1,Yes,0.36,0,0,0,,,Whole,2023-01-26,300000,58.0,Monthly,Manual,1,285,,Not Returning
CUST_000017,32,F,Married,1,Medium,Retired,Bachelor,2023-10-25,2,Yes,0.51,1,0,0,,,Term,2023-09-04,150000,26.0,Monthly,AutoPay,0,51,,Not Returning
CUST_000018,48,F,Divorced,2,Low,Employed,Bachelor,2023-09-22,1,No,0.65,2,0,0,,,Term,2023-06-28,50000,11.33,Monthly,Manual,0,86,,Not Returning
CUST_000019,34,F,Married,1,Medium,Self-employed,Bachelor,2023-11-08,3,No,0.2,4,5,1,2023-11-07,Financial,Term,2022-10-29,250000,45.0,Quarterly,AutoPay,0,375,374.0,Possibly Returning
CUST_000020,28,M,Single,2,High,Employed,Bachelor,2023-12-31,2,Yes,0.44,0,0,0,,,Whole,2023-04-10,650000,104.0,Monthly,Manual,1,265,,Not Returning
CUST_000021,62,F,Single,0,Medium,Employed,Bachelor,2023-10-09,0,No,0.5,0,0,0,,,Universal,2023-06-02,300000,82.0,Monthly,AutoPay,0,129,,Not Returning
CUST_000022,42,M,Married,2,Medium,Employed,Bachelor,2023-10-23,0,No,0.12,2,1,1,2023-11-03,Service,Whole,2023-09-12,250000,51.67,Monthly,Manual,2,41,52.0,Possibly Churn
CUST_000023,45,F,Married,2,High,Employed,Master,2023-09-09,1,No,0.47,0,0,0,,,Whole,2023-03-17,400000,86.67,Monthly,AutoPay,0,176,,Not Returning
CUST_000024,27,F,Widowed,0,Low,Retired,Bachelor,2023-11-19,3,Yes,0.62,1,0,0,,,Term,2022-04-12,150000,23.5,Monthly,Manual,0,586,,Not Returning
CUST_000025,38,M,Married,1,High,Retired,Bachelor,2022-09-21,0,No,0.51,2,0,0,,,Term,2022-04-28,700000,135.33,Monthly,AutoPay,0,146,,Not Returning
CUST_000026,46,F,Divorced,4,VeryHigh,Employed,HighSchool,2023-09-20,2,No,0.25,0,0,0,,,Term,2023-07-19,1750000,385.0,Monthly,AutoPay,0,63,,Not Returning
CUST_000027,31,F,Married,2,Medium,Employed,Bachelor,2023-10-05,1,No,0.81,4,0,0,,,Term,2022-08-09,200000,34.0,Monthly,Manual,1,422,,Not Returning
CUST_000028,49,F,Divorced,1,High,Self-employed,HighSchool,2023-06-24,0,No,0.47,0,0,1,2023-10-31,Life_Change,Whole,2023-03-17,600000,138.0,Monthly,AutoPay,1,99,228.0,Possibly Churn
CUST_000029,37,M,Single,2,Low,Self-employed,Bachelor,2023-09-25,2,No,0.34,3,0,0,,,Whole,2023-04-08,150000,28.5,Monthly,AutoPay,1,170,,Not Returning
CUST_000030,41,F,Divorced,1,Medium,Employed,Master,2023-10-07,5,No,0.33,0,0,0,,,Term,2022-08-22,250000,50.83,Monthly,AutoPay,1,411,,Not Returning
CUST_000031,37,F,Married,3,Medium,Employed,Bachelor,2023-06-16,0,No,0.4,0,0,0,,,Term,2023-02-28,150000,28.5,Quarterly,AutoPay,0,108,,Not Returning
CUST_000032,67,M,Divorced,4,High,Self-employed,Bachelor,2023-10-12,1,No,0.61,0,0,0,,,Term,2022-12-14,300000,87.0,Quarterly,AutoPay,1,302,,Not Returning
CUST_000033,44,M,Single,4,Medium,Employed,Bachelor,2023-10-18,1,No,0.39,2,0,0,,,Whole,2023-04-10,100000,21.33,Monthly,Manual,1,191,,Not Returning
CUST_000034,32,M,Married,1,Medium,Employed,Bachelor,2023-09-30,1,No,0.34,0,0,0,,,Term,2023-02-13,200000,34.67,Monthly,AutoPay,1,229,,Not Returning
CUST_000035,54,F,Married,2,Medium,Employed,Bachelor,2023-10-10,0,Yes,0.61,0,0,0,,,Term,2023-03-02,200000,49.33,Monthly,AutoPay,1,222,,Not Returning
CUST_000036,30,F,Widowed,6,High,Employed,Master,2023-09-27,1,Yes,0.48,0,0,0,,,Whole,2022-04-08,350000,58.33,Monthly,AutoPay,3,537,,Not Returning
CUST_000037,47,M,Married,5,Low,Employed,Master,2022-12-23,3,Yes,0.38,0,0,0,,,Term,2022-11-17,50000,11.17,Quarterly,AutoPay,2,36,,Not Returning
CUST_000038,25,F,Married,3,Medium,Employed,Bachelor,2023-11-20,4,No,0.61,0,0,0,,,Whole,2023-03-14,100000,15.0,Monthly,AutoPay,0,251,,Not Returning
CUST_000039,29,M,Married,3,Medium,Employed,HighSchool,2023-11-03,0,Yes,0.43,1,0,0,,,Universal,2022-11-17,150000,24.5,Monthly,Manual,0,351,,Not Returning
CUST_000040,47,F,Married,1,Low,Self-employed,HighSchool,2023-06-13,5,No,0.42,0,0,0,,,Whole,2022-09-19,100000,22.33,Monthly,AutoPay,0,267,,Not Returning
CUST_000041,53,M,Single,1,Medium,Employed,Bachelor,2023-08-19,0,No,0.1,2,2,1,2023-10-20,Financial,Term,2023-01-19,250000,60.83,Monthly,Manual,1,212,274.0,Possibly Churn
CUST_000042,47,M,Single,0,Medium,Employed,Bachelor,2023-08-12,1,Yes,0.66,1,0,0,,,Term,2022-06-06,300000,67.0,Annual,AutoPay,0,432,,Not Returning
CUST_000043,43,M,Single,0,Medium,Self-employed,HighSchool,2023-08-11,3,Yes,0.63,0,0,0,,,Term,2023-05-01,200000,42.0,Quarterly,AutoPay,0,102,,Not Returning
CUST_000044,41,M,Married,4,Medium,Employed,Bachelor,2023-08-08,0,No,0.14,2,1,1,2023-10-16,Price,Term,2022-03-10,150000,30.5,Monthly,Manual,1,516,585.0,Possibly Churn
CUST_000045,27,F,Divorced,1,High,Employed,HighSchool,2022-06-10,0,No,0.03,0,0,1,2023-12-28,Service,Term,2022-04-04,600000,94.0,Monthly,Manual,0,67,633.0,Possibly Churn
CUST_000046,36,F,Divorced,1,High,Retired,HighSchool,2023-04-05,1,No,0.58,1,0,0,,,Term,2022-03-29,700000,130.67,Quarterly,Manual,0,372,,Not Returning
CUST_000047,39,M,Single,1,Low,Employed,Bachelor,2022-11-23,3,Yes,0.48,1,0,0,,,Term,2022-04-06,50000,9.83,Quarterly,AutoPay,1,231,,Not Returning
CUST_000048,57,M,Single,0,Low,Employed,PhD,2023-10-02,0,No,0.87,0,1,0,,,Whole,2023-03-19,150000,38.5,Monthly,Manual,0,197,,Not Returning
CUST_000049,49,M,Single,0,Medium,Employed,HighSchool,2023-03-18,2,No,0.35,0,0,0,,,Whole,2022-04-09,250000,57.5,Annual,AutoPay,1,343,,Not Returning
CUST_000050,25,F,Married,2,Medium,Employed,Bachelor,2023-01-30,2,Yes,0.41,1,0,0,,,Whole,2023-01-17,150000,22.5,Monthly,AutoPay,0,13,,Not Returning
CUST_000051,48,F,Single,1,Low,Self-employed,Bachelor,2022-11-05,3,Yes,0.48,0,0,0,,,Term,2022-05-14,100000,22.67,Monthly,AutoPay,0,175,,Not Returning
CUST_000052,40,M,Married,4,High,Employed,HighSchool,2023-12-04,2,No,0.55,0,0,0,,,Term,2023-07-24,450000,90.0,Annual,AutoPay,1,133,,Not Returning
CUST_000053,36,F,Married,0,Medium,Employed,HighSchool,2023-11-18,0,No,0.68,2,0,0,,,Term,2022-03-03,150000,28.0,Annual,AutoPay,0,625,,Not Returning
CUST_000054,52,M,Married,0,High,Employed,HighSchool,2024-01-01,3,No,0.5,0,0,0,,,Term,2023-08-24,500000,120.0,Quarterly,Manual,0,130,,Not Returning
CUST_000055,57,F,Married,2,Medium,Self-employed,Master,2023-12-13,2,No,0.73,0,1,0,,,Term,2023-07-30,250000,64.17,Quarterly,AutoPay,1,136,,Not Returning
CUST_000056,56,F,Married,0,Medium,Self-employed,Bachelor,2023-11-04,2,No,0.27,0,0,0,,,Term,2023-07-30,100000,25.33,Monthly,AutoPay,0,97,,Not Returning
CUST_000057,34,F,Married,1,High,Employed,HighSchool,2023-05-02,0,No,0.02,2,0,1,2023-12-11,Competition,Term,2022-12-04,700000,126.0,Monthly,AutoPay,1,149,372.0,Possibly Churn
CUST_000058,41,F,Divorced,3,Medium,Employed,HighSchool,2022-10-02,0,Yes,0.6,0,0,0,,,Term,2022-05-06,100000,20.33,Monthly,AutoPay,0,149,,Not Returning
CUST_000059,48,F,Married,1,Medium,Self-employed,Bachelor,2023-07-08,0,No,0.25,2,0,0,,,Term,2023-02-25,200000,45.33,Monthly,AutoPay,0,133,,Not Returning
CUST_000060,56,F,Single,2,Low,Employed,Bachelor,2023-01-25,3,Yes,0.56,0,0,0,,,Universal,2022-12-29,50000,12.67,Monthly,AutoPay,0,27,,Not Returning
CUST_000061,39,F,Married,1,Medium,Employed,HighSchool,2023-04-26,0,No,0.16,1,1,1,2023-10-14,Competition,Whole,2023-03-10,250000,49.17,Monthly,AutoPay,0,47,218.0,Possibly Churn
CUST_000062,42,M,Single,1,High,Retired,Bachelor,2022-08-28,1,No,0.24,4,1,1,2023-12-17,Price,Term,2022-02-22,300000,62.0,Monthly,AutoPay,0,187,663.0,Possibly Churn
CUST_000063,31,M,Married,1,Low,Self-employed,HighSchool,2023-08-22,4,Yes,0.61,1,0,0,,,Term,2022-10-22,150000,25.5,Monthly,Manual,0,304,,Not Returning
CUST_000064,30,M,Single,1,High,Employed,HighSchool,2023-11-30,2,No,0.42,1,0,0,,,Term,2023-09-07,700000,116.67,Monthly,Manual,0,84,,Not Returning
CUST_000065,54,F,Married,0,High,Employed,Bachelor,2023-11-22,2,Yes,0.52,1,0,0,,,Term,2022-11-16,450000,111.0,Monthly,AutoPay,0,371,,Not Returning
CUST_000066,61,M,Single,3,Medium,Employed,Bachelor,2023-06-16,3,No,0.57,0,0,0,,,Term,2022-12-27,300000,81.0,Monthly,AutoPay,0,171,,Not Returning
CUST_000067,44,M,Married,2,Medium,Employed,Bachelor,2022-05-14,0,Yes,0.14,3,0,1,2023-11-26,Unknown,Universal,2022-04-17,200000,42.67,Monthly,Manual,0,27,588.0,Possibly Churn
CUST_000068,57,M,Single,0,VeryHigh,Self-employed,Bachelor,2023-09-12,3,No,0.14,3,1,1,2023-10-07,Competition,Whole,2023-08-15,1200000,308.0,Monthly,Manual,0,28,53.0,Possibly Churn
CUST_000069,49,M,Married,1,Low,Self-employed,PhD,2023-07-31,1,Yes,0.51,1,0,0,,,Term,2023-06-04,100000,23.0,Quarterly,AutoPay,1,57,,Not Returning
CUST_000070,37,F,Single,5,Medium,Retired,Bachelor,2023-04-14,1,No,0.33,1,0,0,,,Term,2022-08-06,200000,38.0,Monthly,AutoPay,1,251,,Not Returning
CUST_000071,49,F,Single,1,High,Employed,Master,2023-03-08,3,No,0.57,0,0,0,,,Term,2022-06-08,700000,161.0,Quarterly,Manual,1,273,,Not Returning
CUST_000072,63,F,Divorced,2,Medium,Self-employed,Master,2023-09-26,1,Yes,0.59,0,0,0,,,Term,2023-05-09,100000,27.67,Annual,Manual,2,140,,Not Returning
CUST_000073,44,F,Married,0,High,Employed,Master,2023-04-28,3,No,0.53,2,1,0,,,Whole,2022-08-18,450000,96.0,Annual,AutoPay,0,253,,Not Returning
CUST_000074,63,F,Single,1,Medium,Employed,HighSchool,2022-10-27,3,No,0.24,2,1,1,2023-10-06,Service,Universal,2022-04-21,150000,41.5,Annual,AutoPay,1,189,533.0,Possibly Churn
CUST_000075,25,M,Married,2,High,Employed,Bachelor,2023-08-17,2,Yes,0.81,1,0,0,,,Whole,2022-12-25,300000,45.0,Quarterly,Manual,1,235,,Not Returning
CUST_000076,54,M,Married,1,High,Employed,HighSchool,2023-10-30,2,Yes,0.32,1,0,0,,,Term,2023-07-24,650000,160.33,Monthly,AutoPay,0,98,,Not Returning
CUST_000077,46,F,Married,3,Medium,Employed,Bachelor,2023-11-19,1,No,0.45,1,0,0,,,Whole,2023-01-12,150000,33.0,Quarterly,Manual,0,311,,Not Returning
CUST_000078,41,M,Married,2,Medium,Employed,HighSchool,2023-06-12,1,No,0.34,0,0,0,,,Universal,2022-04-28,100000,20.33,Monthly,AutoPay,1,410,,Not Returning
CUST_000079,46,M,Divorced,0,Medium,Employed,HighSchool,2023-10-02,1,No,0.31,1,0,0,,,Term,2022-10-13,300000,66.0,Monthly,AutoPay,0,354,,Not Returning
CUST_000080,25,F,Single,1,Low,Employed,Master,2023-10-02,0,No,0.55,2,0,0,,,Term,2023-08-11,100000,15.0,Annual,AutoPay,2,52,,Not Returning
CUST_000081,42,M,Married,0,High,Employed,Bachelor,2023-05-02,0,No,0.34,4,2,1,2023-10-14,Service,Term,2022-08-20,600000,124.0,Monthly,AutoPay,1,255,420.0,Possibly Churn
CUST_000082,49,M,Married,1,High,Self-employed,PhD,2023-06-20,3,No,0.32,0,0,0,,,Term,2023-03-16,550000,126.5,Monthly,AutoPay,0,96,,Not Returning
CUST_000083,62,M,Married,3,High,Employed,Bachelor,2023-10-13,1,No,0.4,1,0,0,,,Whole,2023-07-29,350000,95.67,Monthly,AutoPay,1,76,,Not Returning
CUST_000084,38,M,Divorced,2,VeryHigh,Employed,Bachelor,2023-12-30,2,Yes,0.55,3,0,0,,,Whole,2023-09-29,1300000,251.33,Monthly,AutoPay,1,92,,Not Returning
CUST_000085,35,M,Divorced,2,High,Self-employed,HighSchool,2023-11-06,0,No,0.36,2,0,1,2023-10-30,Unknown,Whole,2023-09-21,650000,119.17,Monthly,Manual,0,46,39.0,Possibly Returning
CUST_000086,38,M,Married,0,High,Employed,Bachelor,2023-08-21,3,No,0.49,0,0,0,,,Term,2023-07-25,600000,116.0,Monthly,AutoPay,0,27,,Not Returning
CUST_000087,55,F,Widowed,1,High,Employed,Bachelor,2023-05-11,2,No,0.6,1,0,0,,,Term,2022-01-27,550000,137.5,Monthly,AutoPay,0,469,,Not Returning
CUST_000088,48,F,Married,3,Medium,Employed,PhD,2023-09-26,2,No,0.39,0,1,0,,,Term,2023-09-16,100000,22.67,Monthly,AutoPay,0,10,,Not Returning
CUST_000089,38,M,Married,2,High,Employed,HighSchool,2023-11-11,3,No,0.44,0,0,0,,,Term,2022-10-01,550000,106.33,Monthly,AutoPay,0,406,,Not Returning
CUST_000090,51,F,Widowed,1,High,Employed,HighSchool,2022-07-11,3,No,0.43,1,0,0,,,Term,2022-01-30,300000,71.0,Monthly,AutoPay,0,162,,Not Returning
CUST_000091,46,M,Single,2,Medium,Self-employed,HighSchool,2023-10-10,2,Yes,0.5,0,0,0,,,Term,2022-07-04,300000,66.0,Annual,AutoPay,1,463,,Not Returning
CUST_000092,56,M,Married,3,VeryHigh,Employed,Master,2023-04-13,1,No,0.11,0,0,1,2023-11-01,Financial,Whole,2022-10-07,1800000,456.0,Quarterly,AutoPay,1,188,390.0,Possibly Churn
CUST_000093,36,M,Married,0,Low,Employed,Bachelor,2023-02-24,0,Yes,0.41,0,0,0,,,Term,2022-11-13,50000,9.33,Monthly,AutoPay,0,103,,Not Returning
CUST_000094,41,F,Divorced,0,Medium,Employed,Master,2023-09-13,1,No,0.69,2,0,0,,,Whole,2022-12-14,150000,30.5,Monthly,AutoPay,0,273,,Not Returning
CUST_000095,40,M,Divorced,1,Low,Employed,Bachelor,2023-12-24,2,Yes,0.17,2,0,1,2023-12-06,Price,Term,2022-12-26,100000,20.0,Quarterly,AutoPay,0,363,345.0,Possibly Returning
CUST_000096,27,F,Divorced,2,Medium,Employed,Bachelor,2022-11-15,2,Yes,0.46,1,0,0,,,Universal,2022-01-07,100000,15.67,Monthly,Manual,1,312,,Not Returning
CUST_000097,48,F,Divorced,3,Medium,Employed,Bachelor,2023-06-22,1,No,0.4,1,0,0,,,Universal,2022-07-05,300000,68.0,Monthly,Manual,0,352,,Not Returning
CUST_000098,48,F,Married,0,High,Employed,Bachelor,2023-01-31,2,No,0.42,1,0,0,,,Universal,2022-05-27,700000,158.67,Monthly,Manual,1,249,,Not Returning
CUST_000099,45,F,Single,2,High,Unemployed,Bachelor,2023-10-27,1,No,0.3,0,0,0,,,Term,2023-08-03,350000,75.83,Quarterly,AutoPay,0,85,,Not Returning
CUST_000100,42,F,Single,3,High,Employed,Bachelor,2023-11-26,1,Yes,0.29,0,0,0,,,Whole,2023-02-15,700000,144.67,Monthly,AutoPay,0,284,,Not Returning
CUST_000101,28,M,Married,4,High,Employed,HighSchool,2022-08-24,4,Yes,0.49,0,0,0,,,Term,2022-03-13,600000,96.0,Monthly,AutoPay,0,164,,Not Returning
CUST_000102,39,M,Married,4,Low,Employed,HighSchool,2023-02-12,2,No,0.44,0,0,0,,,Whole,2022-05-26,100000,19.67,Monthly,Manual,0,262,,Not Returning
CUST_000103,40,F,Married,2,Medium,Retired,HighSchool,2023-06-08,1,No,0.25,3,0,1,2023-12-19,Service,Term,2022-02-01,200000,40.0,Quarterly,Manual,0,492,686.0,Possibly Churn
CUST_000104,35,F,Married,4,High,Employed,Bachelor,2022-10-15,6,Yes,0.32,2,0,0,,,Term,2022-04-04,400000,73.33,Monthly,AutoPay,1,194,,Not Returning
CUST_000105,43,M,Divorced,3,High,Employed,Bachelor,2023-07-13,2,No,0.4,1,0,0,,,Whole,2023-06-28,550000,115.5,Annual,AutoPay,1,15,,Not Returning
CUST_000106,49,M,Married,3,High,Retired,Bachelor,2023-05-05,2,Yes,0.67,0,0,0,,,Term,2022-08-09,550000,126.5,Monthly,AutoPay,1,269,,Not Returning
CUST_000107,67,M,Divorced,0,Medium,Retired,HighSchool,2023-08-14,2,Yes,0.27,2,0,0,,,Universal,2023-01-21,150000,43.5,Monthly,AutoPay,0,205,,Not Returning
CUST_000108,47,M,Divorced,4,Medium,Employed,Bachelor,2023-11-06,2,Yes,0.44,2,0,0,,,Term,2023-03-06,200000,44.67,Monthly,AutoPay,0,245,,Not Returning
CUST_000109,48,M,Married,6,VeryHigh,Employed,HighSchool,2023-11-25,0,Yes,0.42,0,1,0,,,Term,2023-04-10,650000,147.33,Monthly,AutoPay,0,229,,Not Returning
CUST_000110,44,F,Married,1,High,Retired,Bachelor,2023-07-26,1,No,0.09,3,1,1,2023-10-06,Financial,Term,2022-12-16,650000,138.67,Monthly,Manual,0,222,294.0,Possibly Churn
CUST_000111,25,F,Married,1,Medium,Employed,Master,2022-08-25,4,No,0.38,1,0,0,,,Term,2022-06-11,250000,37.5,Monthly,AutoPay,0,75,,Not Returning
CUST_000112,44,M,Married,1,Medium,Employed,Bachelor,2023-01-28,0,Yes,0.86,1,1,0,,,Term,2023-01-14,250000,53.33,Quarterly,AutoPay,0,14,,Not Returning
CUST_000113,45,F,Married,3,Medium,Employed,HighSchool,2023-10-13,3,Yes,0.65,0,0,0,,,Term,2022-11-16,100000,21.67,Quarterly,AutoPay,0,331,,Not Returning
CUST_000114,74,F,Single,0,Medium,Employed,Master,2022-12-07,4,No,0.46,1,1,0,,,Term,2022-11-29,250000,78.33,Monthly,AutoPay,0,8,,Not Returning
CUST_000115,42,M,Married,2,Medium,Employed,Bachelor,2023-11-12,2,No,0.58,0,0,0,,,Term,2023-08-05,300000,62.0,Monthly,AutoPay,0,99,,Not Returning
CUST_000116,48,M,Single,2,High,Employed,Bachelor,2023-12-06,3,No,0.41,0,0,0,,,Term,2023-09-03,400000,90.67,Monthly,AutoPay,0,94,,Not Returning
CUST_000117,44,F,Married,0,VeryHigh,Employed,HighSchool,2023-01-08,2,Yes,0.48,0,0,0,,,Term,2022-03-28,1700000,362.67,Monthly,AutoPay,1,286,,Not Returning
CUST_000118,30,F,Married,1,High,Employed,Bachelor,2022-06-24,0,No,0.33,1,0,0,,,Whole,2022-02-23,250000,41.67,Monthly,AutoPay,0,121,,Not Returning
CUST_000119,58,M,Married,2,High,Employed,Bachelor,2023-10-24,3,No,0.66,2,1,0,,,Whole,2022-06-09,600000,156.0,Monthly,AutoPay,0,502,,Not Returning
CUST_000120,54,F,Widowed,0,High,Employed,Bachelor,2023-07-19,3,Yes,0.77,3,0,0,,,Whole,2022-06-11,350000,86.33,Annual,AutoPay,0,403,,Not Returning
CUST_000121,54,M,Married,2,Low,Retired,Master,2023-10-10,3,No,0.5,0,0,0,,,Term,2023-09-25,50000,12.33,Monthly,AutoPay,0,15,,Not Returning
CUST_000122,34,M,Divorced,1,Medium,Employed,Bachelor,2022-08-14,0,Yes,0.58,0,0,0,,,Term,2022-02-20,200000,36.0,Quarterly,Manual,0,175,,Not Returning
CUST_000123,61,M,Married,1,Medium,Self-employed,HighSchool,2023-03-06,3,No,0.51,2,0,0,,,Whole,2022-03-25,150000,40.5,Monthly,AutoPay,0,346,,Not Returning
CUST_000124,28,M,Married,1,High,Employed,PhD,2023-05-11,3,Yes,0.46,0,0,0,,,Term,2022-10-06,550000,88.0,Monthly,AutoPay,0,217,,Not Returning
CUST_000125,52,F,Married,2,VeryHigh,Employed,HighSchool,2023-04-06,2,Yes,0.5,0,1,0,,,Whole,2023-03-30,1800000,432.0,Quarterly,AutoPay,3,7,,Not Returning
CUST_000126,71,F,Married,1,Medium,Employed,Bachelor,2023-09-21,4,No,0.25,0,0,0,,,Term,2023-03-11,200000,60.67,Monthly,AutoPay,3,194,,Not Returning
CUST_000127,33,M,Divorced,0,Medium,Employed,Bachelor,2023-11-22,3,Yes,0.47,1,0,0,,,Universal,2023-05-13,300000,53.0,Annual,Manual,0,193,,Not Returning
CUST_000128,38,F,Divorced,3,Medium,Retired,Master,2023-12-11,2,Yes,0.72,1,0,0,,,Whole,2023-09-14,150000,29.0,Monthly,AutoPay,1,88,,Not Returning
CUST_000129,46,F,Married,2,Medium,Employed,Bachelor,2023-10-25,0,No,0.1,3,2,1,2023-12-13,Price,Term,2023-03-29,250000,55.0,Monthly,Manual,0,210,259.0,Possibly Churn
CUST_000130,38,M,Single,1,Medium,Employed,Master,2023-11-22,3,Yes,0.21,1,0,0,,,Universal,2023-03-01,250000,48.33,Monthly,AutoPay,0,266,,Not Returning
CUST_000131,26,F,Married,2,VeryHigh,Self-employed,Master,2023-07-23,2,Yes,0.54,0,0,0,,,Whole,2022-10-07,1250000,191.67,Monthly,AutoPay,0,289,,Not Returning
CUST_000132,45,M,Married,1,Medium,Self-employed,HighSchool,2022-09-15,1,Yes,0.39,1,0,0,,,Whole,2022-08-09,200000,43.33,Monthly,Manual,0,37,,Not Returning
CUST_000133,32,F,Single,1,VeryHigh,Unemployed,Bachelor,2023-09-19,0,No,0.44,0,0,0,,,Term,2023-06-09,1850000,320.67,Quarterly,Manual,0,102,,Not Returning
CUST_000134,50,M,Divorced,2,Low,Employed,Bachelor,2023-09-08,2,No,0.35,0,1,0,,,Universal,2022-04-27,100000,23.33,Monthly,Manual,1,499,,Not Returning
CUST_000135,33,F,Married,1,Medium,Retired,HighSchool,2023-03-09,3,No,0.22,1,0,0,,,Term,2022-12-20,150000,26.5,Annual,AutoPay,1,79,,Not Returning
CUST_000136,63,M,Married,5,Medium,Employed,HighSchool,2023-08-18,3,No,0.43,0,0,0,,,Term,2023-03-17,200000,55.33,Quarterly,Manual,0,154,,Not Returning
CUST_000137,35,F,Divorced,1,High,Employed,Master,2023-06-11,1,No,0.63,1,1,0,,,Term,2022-04-24,550000,100.83,Annual,Manual,0,413,,Not Returning
CUST_000138,41,F,Married,0,Medium,Employed,PhD,2023-11-25,2,Yes,0.7,1,0,0,,,Term,2022-10-18,300000,61.0,Quarterly,AutoPay,1,403,,Not Returning
CUST_000139,54,M,Married,1,High,Self-employed,Bachelor,2023-09-24,1,Yes,0.51,2,0,0,,,Universal,2023-08-31,250000,61.67,Monthly,AutoPay,0,24,,Not Returning
CUST_000140,30,M,Married,4,Medium,Employed,Bachelor,2023-10-27,0,No,0.33,3,0,1,2023-10-28,Price,Term,2023-05-14,200000,33.33,Monthly,Manual,1,166,167.0,Possibly Churn
CUST_000141,47,M,Married,2,High,Self-employed,HighSchool,2023-12-04,0,No,0.13,4,2,1,2023-12-25,Financial,Term,2023-06-24,500000,111.67,Monthly,Manual,1,163,184.0,Possibly Churn
CUST_000142,60,F,Married,1,Medium,Employed,HighSchool,2023-09-23,1,No,0.72,2,0,0,,,Term,2022-11-12,150000,40.0,Monthly,Manual,0,315,,Not Returning
CUST_000143,25,M,Married,1,Medium,Self-employed,Bachelor,2023-03-22,3,No,0.69,0,0,0,,,Term,2022-02-16,100000,15.0,Monthly,AutoPay,0,399,,Not Returning
CUST_000144,47,F,Single,2,Medium,Employed,HighSchool,2022-09-08,3,Yes,0.42,0,0,0,,,Term,2022-08-14,100000,22.33,Annual,AutoPay,0,25,,Not Returning
