customer_id,age,gender,marital_status,dependents,income_bracket,employment_status,education_level
CUST_000081,42,M,Married,0,High,Employed,Bachelor
CUST_000082,49,M,Married,1,High,Self-employed,PhD
CUST_000083,62,M,Married,3,High,Employed,Bachelor
CUST_000084,38,M,Divorced,2,VeryHigh,Employed,Bachelor
CUST_000085,35,M,Divorced,2,High,Self-employed,HighSchool
CUST_000086,38,M,Married,0,High,Employed,Bachelor
CUST_000087,55,F,Widowed,1,High,Employed,Bachelor
CUST_000088,48,F,Married,3,Medium,Employed,PhD
CUST_000089,38,M,Married,2,High,Employed,HighSchool
CUST_000090,51,F,Widowed,1,High,Employed,HighSchool
CUST_000091,46,M,Single,2,Medium,Self-employed,HighSchool
CUST_000092,56,M,Married,3,VeryHigh,Employed,Master
CUST_000093,36,M,Married,0,Low,Employed,Bachelor
CUST_000094,41,F,Divorced,0,Medium,Employed,Master
CUST_000095,40,M,Divorced,1,Low,Employed,Bachelor
CUST_000096,27,F,Divorced,2,Medium,Employed,Bachelor
CUST_000097,48,F,Divorced,3,Medium,Employed,Bachelor
CUST_000098,48,F,Married,0,High,Employed,Bachelor
CUST_000099,45,F,Single,2,High,Unemployed,Bachelor
CUST_000100,42,F,Single,3,High,Employed,Bachelor
CUST_000101,28,M,Married,4,High,Employed,HighSchool
CUST_000102,39,M,Married,4,Low,Employed,HighSchool
CUST_000103,40,F,Married,2,Medium,Retired,HighSchool
CUST_000104,35,F,Married,4,High,Employed,Bachelor
CUST_000105,43,M,Divorced,3,High,Employed,Bachelor
CUST_000106,49,M,Married,3,High,Retired,Bachelor
CUST_000107,67,M,Divorced,0,Medium,Retired,HighSchool
CUST_000108,47,M,Divorced,4,Medium,Employed,Bachelor
CUST_000109,48,M,Married,6,VeryHigh,Employed,HighSchool
CUST_000110,44,F,Married,1,High,Retired,Bachelor
CUST_000111,25,F,Married,1,Medium,Employed,Master
CUST_000112,44,M,Married,1,Medium,Employed,Bachelor
CUST_000113,45,F,Married,3,Medium,Employed,HighSchool
CUST_000114,74,F,Single,0,Medium,Employed,Master
CUST_000115,42,M,Married,2,Medium,Employed,Bachelor
CUST_000116,48,M,Single,2,High,Employed,Bachelor
CUST_000117,44,F,Married,0,VeryHigh,Employed,HighSchool
CUST_000118,30,F,Married,1,High,Employed,Bachelor
CUST_000119,58,M,Married,2,High,Employed,Bachelor
CUST_000120,54,F,Widowed,0,High,Employed,Bachelor
CUST_000121,54,M,Married,2,Low,Retired,Master
CUST_000122,34,M,Divorced,1,Medium,Employed,Bachelor
CUST_000123,61,M,Married,1,Medium,Self-employed,HighSchool
CUST_000124,28,M,Married,1,High,Employed,PhD
CUST_000125,52,F,Married,2,VeryHigh,Employed,HighSchool
CUST_000126,71,F,Married,1,Medium,Employed,Bachelor
CUST_000127,33,M,Divorced,0,Medium,Employed,Bachelor
CUST_000128,38,F,Divorced,3,Medium,Retired,Master
CUST_000129,46,F,Married,2,Medium,Employed,Bachelor
CUST_000130,38,M,Single,1,Medium,Employed,Master
CUST_000131,26,F,Married,2,VeryHigh,Self-employed,Master
CUST_000132,45,M,Married,1,Medium,Self-employed,HighSchool
CUST_000133,32,F,Single,1,VeryHigh,Unemployed,Bachelor
CUST_000134,50,M,Divorced,2,Low,Employed,Bachelor
CUST_000135,33,F,Married,1,Medium,Retired,HighSchool
CUST_000136,63,M,Married,5,Medium,Employed,HighSchool
CUST_000137,35,F,Divorced,1,High,Employed,Master
CUST_000138,41,F,Married,0,Medium,Employed,PhD
CUST_000139,54,M,Married,1,High,Self-employed,Bachelor
CUST_000140,30,M,Married,4,Medium,Employed,Bachelor
CUST_000141,47,M,Married,2,High,Self-employed,HighSchool
CUST_000142,60,F,Married,1,Medium,Employed,HighSchool
CUST_000143,25,M,Married,1,Medium,Self-employed,Bachelor
CUST_000144,47,F,Single,2,Medium,Employed,HighSchool
CUST_000145,48,M,Single,0,Medium,Employed,Bachelor
CUST_000146,54,M,Married,1,Medium,Employed,HighSchool
CUST_000147,30,M,Married,2,Medium,Retired,Bachelor
CUST_000148,29,M,Married,2,High,Employed,Bachelor
CUST_000149,51,F,Married,2,High,Employed,HighSchool
CUST_000150,48,F,Single,1,Medium,Employed,Bachelor
CUST_000151,48,M,Married,0,VeryHigh,Employed,Bachelor
CUST_000152,49,M,Divorced,1,VeryHigh,Employed,HighSchool
CUST_000153,36,M,Single,0,VeryHigh,Self-employed,Bachelor
CUST_000154,47,F,Married,1,Medium,Employed,Bachelor
CUST_000155,48,M,Married,0,Medium,Employed,HighSchool
CUST_000156,36,F,Married,0,Medium,Self-employed,Bachelor
CUST_000157,67,F,Single,3,Low,Retired,Bachelor
CUST_000158,50,M,Divorced,0,High,Self-employed,HighSchool
CUST_000159,30,F,Married,0,Medium,Employed,Master
CUST_000160,52,M,Divorced,2,High,Employed,Bachelor
CUST_000161,33,M,Single,3,Medium,Retired,Bachelor
CUST_000162,54,M,Married,0,Low,Self-employed,Master
CUST_000163,58,M,Married,1,High,Employed,Master
CUST_000164,35,M,Married,2,Medium,Retired,Bachelor
CUST_000165,56,M,Married,1,Medium,Employed,HighSchool
CUST_000166,49,M,Married,0,Medium,Unemployed,Bachelor
CUST_000167,54,M,Single,1,Low,Retired,Bachelor
CUST_000168,67,F,Married,3,High,Employed,Bachelor
CUST_000169,42,F,Single,1,Low,Retired,Bachelor
CUST_000170,35,M,Single,2,Medium,Employed,Bachelor
CUST_000171,34,M,Married,2,High,Self-employed,PhD
CUST_000172,35,M,Single,1,Medium,Employed,Master
CUST_000173,44,F,Widowed,1,Medium,Retired,HighSchool
CUST_000174,49,F,Divorced,3,Medium,Employed,Bachelor
CUST_000175,48,M,Married,1,Low,Retired,Bachelor
CUST_000176,54,M,Divorced,3,Medium,Employed,Bachelor
CUST_000177,45,M,Divorced,1,Medium,Self-employed,Master
CUST_000178,62,M,Married,1,Low,Employed,Bachelor
CUST_000179,41,F,Divorced,1,Medium,Self-employed,Bachelor
CUST_000180,75,F,Single,3,Low,Employed,Master
CUST_000181,52,M,Married,2,High,Retired,HighSchool
CUST_000182,34,M,Married,3,High,Self-employed,Master
CUST_000183,32,M,Married,2,Low,Self-employed,Master
CUST_000184,50,M,Single,1,High,Employed,HighSchool
CUST_000185,42,F,Married,0,Medium,Employed,Bachelor
CUST_000186,53,F,Married,0,Medium,Retired,Bachelor
CUST_000187,50,M,Married,2,Medium,Employed,HighSchool
CUST_000188,44,M,Married,1,Medium,Retired,Bachelor
CUST_000189,34,F,Married,2,Low,Employed,PhD
CUST_000190,26,F,Single,2,Low,Employed,HighSchool
CUST_000191,39,M,Single,1,High,Retired,HighSchool
CUST_000192,55,M,Married,0,VeryHigh,Self-employed,HighSchool
CUST_000193,47,M,Married,2,Medium,Employed,Master
CUST_000194,30,F,Single,3,Medium,Employed,Bachelor
CUST_000195,47,F,Married,1,VeryHigh,Retired,HighSchool
CUST_000196,49,M,Married,1,Medium,Employed,Master
CUST_000197,34,F,Single,1,Medium,Employed,Master
CUST_000198,46,F,Married,1,VeryHigh,Employed,Bachelor
CUST_000199,45,M,Married,0,High,Employed,HighSchool
CUST_000200,31,M,Married,1,Low,Employed,Bachelor
CUST_000201,49,F,Divorced,3,High,Employed,HighSchool
CUST_000202,51,F,Single,1,High,Retired,HighSchool
CUST_000203,57,F,Married,2,Medium,Retired,HighSchool
CUST_000204,57,F,Married,2,Medium,Employed,Master
CUST_000205,28,M,Married,0,Medium,Employed,HighSchool
CUST_000206,33,M,Married,3,High,Self-employed,Bachelor
CUST_000207,51,F,Married,2,High,Employed,HighSchool
CUST_000208,51,M,Married,0,Low,Retired,HighSchool
CUST_000209,51,F,Single,4,High,Employed,Bachelor
CUST_000210,75,F,Married,3,High,Employed,HighSchool
CUST_000211,51,F,Married,2,Low,Employed,PhD
CUST_000212,58,M,Widowed,2,Medium,Employed,HighSchool
CUST_000213,56,F,Married,1,High,Employed,HighSchool
CUST_000214,52,F,Married,0,Medium,Employed,Master
CUST_000215,41,F,Married,2,VeryHigh,Employed,PhD
CUST_000216,54,M,Divorced,2,Medium,Self-employed,PhD
CUST_000217,35,M,Widowed,0,Low,Self-employed,Master
CUST_000218,42,M,Married,3,High,Employed,PhD
CUST_000219,39,M,Married,1,High,Employed,Master
CUST_000220,45,M,Single,0,VeryHigh,Employed,HighSchool
CUST_000221,72,F,Married,3,Medium,Self-employed,Master
CUST_000222,25,F,Married,1,Medium,Self-employed,Bachelor
CUST_000223,53,F,Married,1,Medium,Retired,Bachelor
CUST_000224,25,M,Single,3,High,Employed,HighSchool
CUST_000225,39,M,Married,0,Medium,Employed,Bachelor
CUST_000226,58,F,Married,1,High,Self-employed,Bachelor
CUST_000227,45,M,Married,1,Medium,Retired,Master
CUST_000228,32,M,Single,3,Medium,Employed,Bachelor
CUST_000229,36,M,Married,1,Medium,Employed,HighSchool
CUST_000230,53,F,Married,1,VeryHigh,Employed,Bachelor
CUST_000231,36,F,Single,2,Medium,Employed,Bachelor
CUST_000232,47,M,Married,2,Medium,Employed,Master
CUST_000233,45,F,Single,0,Low,Retired,HighSchool
CUST_000234,37,M,Married,1,VeryHigh,Retired,HighSchool
CUST_000235,70,M,Divorced,6,High,Employed,Bachelor
CUST_000236,52,F,Widowed,0,VeryHigh,Self-employed,Bachelor
CUST_000237,25,F,Single,4,Low,Employed,HighSchool
CUST_000238,47,F,Divorced,2,Medium,Retired,HighSchool
CUST_000239,37,F,Married,0,Medium,Employed,Bachelor
CUST_000240,55,F,Divorced,2,High,Unemployed,PhD
CUST_000241,35,F,Married,3,Medium,Employed,PhD
CUST_000242,43,F,Single,0,High,Employed,Bachelor
CUST_000243,51,F,Married,0,Medium,Employed,Master
CUST_000244,55,F,Married,2,High,Employed,HighSchool
CUST_000245,30,F,Married,0,Medium,Employed,Bachelor
CUST_000246,40,M,Married,2,Medium,Employed,Bachelor
CUST_000247,39,F,Married,4,Medium,Self-employed,Master
CUST_000248,37,M,Married,1,Low,Retired,HighSchool
CUST_000249,66,M,Widowed,2,VeryHigh,Employed,Bachelor
CUST_000250,49,F,Divorced,1,High,Self-employed,HighSchool
CUST_000251,29,M,Married,0,Medium,Self-employed,Bachelor
CUST_000252,56,M,Married,3,Medium,Self-employed,Master
CUST_000253,70,F,Divorced,0,Low,Employed,Master
CUST_000254,57,M,Divorced,0,Medium,Employed,Bachelor
CUST_000255,26,M,Single,3,Medium,Employed,HighSchool
CUST_000256,39,F,Married,2,Medium,Employed,Master
CUST_000257,60,M,Married,2,High,Retired,Bachelor
CUST_000258,36,M,Married,1,Medium,Self-employed,Master
CUST_000259,50,M,Single,2,Medium,Self-employed,HighSchool
CUST_000260,54,M,Married,0,Medium,Employed,Bachelor
CUST_000261,33,F,Married,1,High,Employed,Bachelor
CUST_000262,44,F,Married,0,Low,Employed,HighSchool
CUST_000263,25,M,Married,1,Medium,Self-employed,Master
CUST_000264,32,F,Single,1,Medium,Employed,Bachelor
CUST_000265,41,F,Divorced,2,High,Employed,HighSchool
CUST_000266,30,M,Divorced,0,Medium,Employed,HighSchool
CUST_000267,64,F,Married,2,High,Employed,Bachelor
CUST_000268,27,F,Divorced,2,Medium,Employed,HighSchool
CUST_000269,39,F,Single,2,High,Retired,Bachelor
CUST_000270,46,M,Married,2,High,Employed,Bachelor
CUST_000271,62,M,Single,2,High,Self-employed,HighSchool
CUST_000272,27,M,Married,0,High,Unemployed,HighSchool
CUST_000273,58,M,Married,2,Medium,Employed,Bachelor
CUST_000274,45,F,Married,3,Medium,Retired,Bachelor
CUST_000275,33,M,Married,2,High,Employed,HighSchool
CUST_000276,50,F,Married,2,Medium,Unemployed,HighSchool
CUST_000277,47,M,Married,0,Low,Retired,Bachelor
CUST_000278,37,M,Divorced,0,High,Retired,HighSchool
CUST_000279,45,F,Married,0,Medium,Employed,Master
CUST_000280,40,M,Single,2,Low,Retired,Master
CUST_000281,46,F,Married,2,High,Retired,Bachelor
CUST_000282,52,M,Divorced,4,High,Self-employed,HighSchool
CUST_000283,64,M,Married,3,High,Employed,Master
CUST_000284,30,F,Married,0,Medium,Employed,Bachelor
CUST_000285,70,F,Married,2,Low,Employed,Master
CUST_000286,25,M,Married,1,High,Self-employed,Bachelor
CUST_000287,43,M,Married,1,High,Employed,HighSchool
CUST_000288,52,F,Married,0,Medium,Retired,Master
CUST_000289,48,F,Single,5,VeryHigh,Employed,Bachelor
CUST_000290,37,F,Married,0,Low,Employed,Bachelor
CUST_000291,42,M,Single,0,Medium,Employed,HighSchool
CUST_000292,39,F,Married,1,Low,Self-employed,HighSchool
CUST_000293,37,M,Married,3,VeryHigh,Employed,Bachelor
CUST_000294,55,M,Widowed,0,Low,Employed,HighSchool
CUST_000295,49,F,Married,2,Medium,Employed,Bachelor
CUST_000296,36,M,Married,3,High,Self-employed,HighSchool
CUST_000297,55,M,Single,1,Medium,Self-employed,Master
CUST_000298,48,M,Single,5,Low,Employed,HighSchool
CUST_000299,54,M,Divorced,3,Low,Employed,Master
CUST_000300,52,F,Married,1,Medium,Employed,Master
CUST_000301,35,F,Single,3,Medium,Employed,HighSchool
CUST_000302,38,M,Married,5,High,Employed,Bachelor
CUST_000303,53,M,Married,1,Medium,Employed,Bachelor
CUST_000304,52,F,Divorced,0,High,Employed,Bachelor
CUST_000305,44,F,Single,0,VeryHigh,Employed,HighSchool
CUST_000306,46,M,Married,1,High,Employed,HighSchool
CUST_000307,60,F,Married,0,High,Employed,HighSchool
CUST_000308,37,F,Widowed,1,VeryHigh,Employed,Bachelor
CUST_000309,51,M,Divorced,2,VeryHigh,Employed,HighSchool
CUST_000310,42,M,Married,0,Medium,Employed,Bachelor
CUST_000311,42,M,Married,1,Medium,Employed,Bachelor
CUST_000312,58,F,Married,2,VeryHigh,Retired,Bachelor
CUST_000313,54,M,Married,2,High,Employed,Master
CUST_000314,54,M,Divorced,0,Low,Self-employed,Master
CUST_000315,60,M,Divorced,1,VeryHigh,Retired,HighSchool
CUST_000316,45,F,Single,1,Medium,Employed,Master
CUST_000317,53,M,Single,2,Medium,Employed,Bachelor
CUST_000318,41,F,Married,0,Medium,Employed,Master
CUST_000319,48,F,Married,0,Medium,Self-employed,Bachelor
CUST_000320,43,M,Single,1,Medium,Unemployed,Bachelor
CUST_000321,46,M,Married,2,Medium,Self-employed,Bachelor
CUST_000322,52,M,Divorced,1,Medium,Employed,HighSchool
CUST_000323,35,F,Single,1,Medium,Retired,HighSchool
CUST_000324,70,M,Married,1,High,Self-employed,HighSchool
CUST_000325,32,M,Single,2,Low,Retired,Master
CUST_000326,30,M,Single,1,VeryHigh,Employed,Master
CUST_000327,58,M,Married,3,High,Employed,Master
CUST_000328,54,F,Single,2,High,Self-employed,Master
CUST_000329,52,F,Divorced,2,Medium,Employed,PhD
CUST_000330,52,F,Divorced,1,VeryHigh,Self-employed,Bachelor
CUST_000331,44,M,Married,2,Low,Employed,HighSchool
CUST_000332,34,M,Single,2,Low,Employed,Bachelor
CUST_000333,45,F,Married,0,High,Retired,Bachelor
CUST_000334,36,M,Single,2,High,Employed,Bachelor
CUST_000335,56,F,Married,2,Medium,Self-employed,Bachelor
CUST_000336,43,M,Married,3,Medium,Employed,HighSchool
CUST_000337,35,M,Married,3,Medium,Employed,HighSchool
CUST_000338,41,F,Single,1,Medium,Employed,Bachelor
CUST_000339,49,F,Married,1,Medium,Employed,HighSchool
CUST_000340,38,F,Divorced,0,VeryHigh,Self-employed,Bachelor
CUST_000341,35,M,Married,1,VeryHigh,Employed,Bachelor
CUST_000342,47,M,Divorced,1,VeryHigh,Employed,Bachelor
CUST_000343,47,F,Widowed,0,Medium,Employed,HighSchool
CUST_000344,38,F,Married,1,Medium,Employed,Bachelor
CUST_000345,39,F,Married,2,Medium,Retired,Master
CUST_000346,47,M,Married,1,High,Employed,Master
CUST_000347,27,F,Single,0,Medium,Employed,Master
CUST_000348,28,F,Married,0,High,Self-employed,Master
CUST_000349,36,F,Married,1,High,Employed,Bachelor
CUST_000350,42,F,Married,1,VeryHigh,Employed,Master
CUST_000351,48,M,Single,1,Medium,Employed,Bachelor
CUST_000352,62,F,Married,2,High,Employed,HighSchool
CUST_000353,55,F,Married,3,Medium,Self-employed,Bachelor
CUST_000354,43,F,Single,2,Low,Self-employed,HighSchool
CUST_000355,44,F,Married,3,Medium,Employed,HighSchool
CUST_000356,32,F,Single,1,Low,Self-employed,Bachelor
CUST_000357,44,F,Married,2,Medium,Employed,HighSchool
CUST_000358,41,M,Married,1,Low,Self-employed,Bachelor
CUST_000359,48,M,Married,1,VeryHigh,Unemployed,Master
CUST_000360,35,M,Married,2,Low,Employed,HighSchool
CUST_000361,51,M,Single,2,High,Employed,Master
CUST_000362,63,M,Single,2,VeryHigh,Employed,Bachelor
CUST_000363,43,M,Single,0,Medium,Employed,Master
CUST_000364,49,M,Married,1,Low,Employed,Bachelor
CUST_000365,53,M,Single,0,Medium,Employed,Bachelor
CUST_000366,40,M,Married,0,Medium,Employed,Bachelor
CUST_000367,47,M,Single,2,Medium,Employed,Master
CUST_000368,45,F,Married,5,Medium,Employed,HighSchool
CUST_000369,46,F,Married,0,Medium,Employed,Bachelor
CUST_000370,35,M,Married,3,High,Employed,HighSchool
CUST_000371,45,F,Single,2,Medium,Employed,Master
CUST_000372,50,F,Divorced,1,High,Employed,Bachelor
CUST_000373,62,M,Widowed,3,Low,Employed,Bachelor
CUST_000374,56,F,Single,1,Medium,Self-employed,Bachelor
CUST_000375,70,F,Married,0,Medium,Self-employed,Bachelor
CUST_000376,35,F,Divorced,1,High,Employed,Bachelor
CUST_000377,55,M,Married,1,High,Self-employed,Bachelor
CUST_000378,47,F,Married,1,High,Unemployed,Bachelor
CUST_000379,71,M,Married,0,Medium,Employed,HighSchool
CUST_000380,35,F,Married,1,High,Employed,PhD
CUST_000381,34,F,Married,0,Medium,Unemployed,Bachelor
CUST_000382,37,M,Divorced,0,Medium,Employed,Bachelor
CUST_000383,25,F,Married,3,Medium,Employed,Master
CUST_000384,38,M,Single,2,Medium,Employed,Bachelor
CUST_000385,35,F,Married,1,High,Employed,PhD
CUST_000386,46,F,Married,1,High,Employed,Bachelor
CUST_000387,49,M,Single,3,Low,Employed,Bachelor
CUST_000388,67,F,Married,2,VeryHigh,Employed,HighSchool
CUST_000389,56,M,Divorced,1,Medium,Self-employed,Bachelor
CUST_000390,38,M,Married,2,Medium,Self-employed,HighSchool
CUST_000391,34,F,Single,1,VeryHigh,Retired,Master
CUST_000392,50,M,Single,3,Medium,Employed,HighSchool
CUST_000393,29,F,Married,3,High,Employed,Bachelor
CUST_000394,66,M,Married,1,Medium,Employed,Bachelor
CUST_000395,59,M,Married,1,High,Employed,Master
CUST_000396,39,F,Married,1,High,Employed,Bachelor
CUST_000397,25,M,Single,2,Medium,Employed,Bachelor
CUST_000398,61,F,Single,3,High,Employed,HighSchool
CUST_000399,43,F,Married,0,VeryHigh,Employed,HighSchool
CUST_000400,59,F,Single,0,Medium,Retired,Bachelor
CUST_000401,25,F,Divorced,1,Medium,Employed,HighSchool
CUST_000402,37,F,Single,0,High,Employed,Master
CUST_000403,45,M,Married,3,Medium,Retired,Bachelor
CUST_000404,45,F,Married,0,VeryHigh,Employed,HighSchool
CUST_000405,39,M,Married,5,Low,Retired,Master
CUST_000406,52,F,Married,1,Medium,Self-employed,PhD
CUST_000407,32,F,Married,1,High,Employed,Bachelor
CUST_000408,43,F,Married,1,Medium,Retired,Bachelor
CUST_000409,46,F,Married,1,Medium,Self-employed,Bachelor
CUST_000410,51,F,Married,2,Medium,Employed,HighSchool
CUST_000411,53,F,Married,1,High,Self-employed,Bachelor
CUST_000412,31,F,Married,5,Medium,Employed,Bachelor
CUST_000413,26,M,Married,1,Medium,Self-employed,HighSchool
CUST_000414,60,M,Married,2,High,Employed,HighSchool
CUST_000415,48,M,Divorced,0,High,Employed,Bachelor
CUST_000416,36,F,Married,1,Medium,Employed,HighSchool
CUST_000417,63,M,Married,3,Medium,Employed,HighSchool
CUST_000418,46,M,Single,1,Low,Self-employed,Bachelor
CUST_000419,59,M,Married,1,High,Self-employed,HighSchool
CUST_000420,45,F,Married,0,Medium,Self-employed,HighSchool
CUST_000421,69,F,Divorced,0,Medium,Unemployed,HighSchool
CUST_000422,66,M,Married,0,Medium,Self-employed,Master
CUST_000423,42,M,Married,3,Medium,Retired,Master
CUST_000424,56,M,Single,1,High,Employed,Master
CUST_000425,52,M,Married,0,Medium,Employed,Bachelor
CUST_000426,61,M,Divorced,1,Low,Employed,PhD
CUST_000427,33,F,Single,1,Low,Employed,HighSchool
CUST_000428,53,F,Single,3,Medium,Retired,Bachelor
CUST_000429,57,M,Married,1,Medium,Employed,Bachelor
CUST_000430,25,M,Married,0,High,Employed,HighSchool
CUST_000431,30,M,Married,1,Low,Employed,HighSchool
CUST_000432,25,M,Married,2,Medium,Self-employed,Master
CUST_000433,41,M,Married,2,Low,Employed,Master
CUST_000434,53,M,Married,2,Low,Employed,HighSchool
CUST_000435,63,M,Married,1,High,Employed,Bachelor
CUST_000436,45,F,Single,1,High,Employed,Bachelor
CUST_000437,64,F,Married,1,High,Employed,PhD
CUST_000438,28,F,Married,1,Medium,Self-employed,Bachelor
CUST_000439,25,M,Divorced,1,Medium,Employed,Bachelor
CUST_000440,44,F,Married,1,Medium,Unemployed,Master
CUST_000441,49,F,Married,1,High,Employed,Bachelor
CUST_000442,44,M,Married,0,Medium,Employed,Master
CUST_000443,25,M,Single,2,Medium,Self-employed,Bachelor
CUST_000444,43,F,Single,2,Medium,Employed,Bachelor
CUST_000445,29,M,Divorced,2,Medium,Employed,Bachelor
CUST_000446,53,M,Divorced,2,High,Employed,Bachelor
CUST_000447,49,F,Widowed,2,Medium,Self-employed,Bachelor
CUST_000448,33,F,Single,1,Medium,Employed,Master
CUST_000449,38,M,Married,1,Medium,Self-employed,HighSchool
CUST_000450,32,F,Married,2,High,Employed,HighSchool
CUST_000451,44,F,Married,0,Low,Employed,Bachelor
CUST_000452,56,M,Married,1,Medium,Retired,Bachelor
CUST_000453,33,F,Married,1,VeryHigh,Self-employed,HighSchool
CUST_000454,51,M,Married,1,Medium,Self-employed,Master
CUST_000455,38,M,Single,2,Low,Retired,HighSchool
CUST_000456,35,F,Single,3,High,Employed,HighSchool
CUST_000457,43,M,Single,3,Low,Self-employed,HighSchool
CUST_000458,32,M,Married,0,Medium,Employed,Master
CUST_000459,38,M,Single,1,Low,Employed,Bachelor
CUST_000460,30,F,Married,3,Medium,Employed,HighSchool
CUST_000461,68,F,Married,1,High,Retired,Bachelor
CUST_000462,45,M,Divorced,0,High,Self-employed,Bachelor
CUST_000463,36,F,Divorced,2,Medium,Employed,PhD
CUST_000464,47,M,Married,0,High,Employed,Master
CUST_000465,43,F,Single,0,High,Employed,HighSchool
CUST_000466,42,M,Single,2,Medium,Employed,Bachelor
CUST_000467,52,F,Widowed,1,Low,Employed,Bachelor
CUST_000468,54,F,Married,0,High,Employed,Bachelor
CUST_000469,38,F,Single,0,Medium,Employed,Bachelor
